code,name,account_type,currency,opening_balance
1516,Tvistiga kundfordringar,asset,SEK,0
1518,Ej reskontraförda kundfordringar,asset,SEK,0
1519,Nedskrivning av kundfordringar,asset,SEK,0
1520,Växelfordringar,asset,SEK,0
1525,Osäkra växelfordringar,asset,SEK,0
1529,Nedskrivning av växelfordringar,asset,SEK,0
1530,Kontraktsfordringar,asset,SEK,0
1531,Kontraktsfordringar,asset,SEK,0
1532,Belånade kontraktsfordringar,asset,SEK,0
1536,Tvistiga kontraktsfordringar,asset,SEK,0
1539,Nedskrivning av kontraktsfordringar,asset,SEK,0
1550,Konsignationsfordringar,asset,SEK,0
1560,Kundfordringar hos koncernföretag,asset,SEK,0
1561,Kundfordringar hos moderföretag,asset,SEK,0
1562,Kundfordringar hos dotterföretag,asset,SEK,0
1563,Kundfordringar hos andra koncernföretag,asset,SEK,0
1568,Ej reskontraförda kundfordringar hos koncernföretag,asset,SEK,0
1569,Nedskrivning av kundfordringar hos koncernföretag,asset,SEK,0
1570,"Kundfordringar hos intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i",asset,SEK,0
1571,Kundfordringar hos intresseföretag,asset,SEK,0
1572,Kundfordringar hos gemensamt styrda företag,asset,SEK,0
1573,Kundfordringar hos övriga företag som det finns ett ägarintresse i,asset,SEK,0
1580,Fordringar för kontokort och kuponger,asset,SEK,0
1610,Kortfristiga fordringar hos anställda,asset,SEK,0
1611,Reseförskott,asset,SEK,0
1612,Kassaförskott,asset,SEK,0
1613,Övriga förskott,asset,SEK,0
1614,Tillfälliga lån till anställda,asset,SEK,0
1619,Övriga fordringar hos anställda,asset,SEK,0
1620,Upparbetad men ej fakturerad intäkt,asset,SEK,0
1630,Avräkning för skatter och avgifter (skattekonto),asset,SEK,0
1640,Skattefordringar,asset,SEK,0
1650,Momsfordran,asset,SEK,0
1660,Kortfristiga fordringar hos koncernföretag,asset,SEK,0
1661,Kortfristiga fordringar hos moderföretag,asset,SEK,0
1662,Kortfristiga fordringar hos dotterföretag,asset,SEK,0
1663,Kortfristiga fordringar hos andra koncernföretag,asset,SEK,0
1670,"Kortfristiga fordringar hos intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i",asset,SEK,0
1671,Kortfristiga fordringar hos intresseföretag,asset,SEK,0
1672,Kortfristiga fordringar hos gemensamt styrda företag,asset,SEK,0
1673,Kortfristiga fordringar hos övriga företag som det finns ett ägarintresse i,asset,SEK,0
1680,Andra kortfristiga fordringar,asset,SEK,0
1681,Utlägg för kunder,asset,SEK,0
1682,Kortfristiga lånefordringar,asset,SEK,0
1683,Derivat,asset,SEK,0
1684,Kortfristiga fordringar hos leverantörer,asset,SEK,0
1685,Kortfristiga fordringar hos delägare eller närstående,asset,SEK,0
1686,Fordringar för kontokort och kuponger,asset,SEK,0
1687,Kortfristig del av långfristiga fordringar,asset,SEK,0
1688,Fordran arbetsmarknadsförsäkringar,asset,SEK,0
1689,Övriga kortfristiga fordringar,asset,SEK,0
1690,Fordringar för tecknat men ej inbetalt aktiekapital,asset,SEK,0
1710,Förutbetalda hyreskostnader,asset,SEK,0
1720,Förutbetalda leasingavgifter,asset,SEK,0
1730,Förutbetalda försäkringspremier,asset,SEK,0
1740,Förutbetalda räntekostnader,asset,SEK,0
1750,Upplupna hyresintäkter,asset,SEK,0
1760,Upplupna ränteintäkter,asset,SEK,0
1770,Tillgångar av kostnadsnatur,asset,SEK,0
1780,Upplupna avtalsintäkter,asset,SEK,0
1790,Övriga förutbetalda kostnader och upplupna intäkter,asset,SEK,0
1810,Andelar i börsnoterade företag,asset,SEK,0
1820,Obligationer,asset,SEK,0
1830,Konvertibla skuldebrev,asset,SEK,0
1860,"Andelar i koncernföretag, kortfristigt",asset,SEK,0
1880,Andra kortfristiga placeringar,asset,SEK,0
1886,Derivat,asset,SEK,0
1889,Andelar i övriga företag,asset,SEK,0
1890,Nedskrivning av kortfristiga placeringar,asset,SEK,0
1910,Kassa,asset,SEK,0
1911,Huvudkassa,asset,SEK,0
1912,Kassa 2,asset,SEK,0
1913,Kassa 3,asset,SEK,0
1920,PlusGiro,asset,SEK,0
1930,Företagskonto,asset,SEK,0
1940,Övriga bankkonton,asset,SEK,0
1950,Bankcertifikat,asset,SEK,0
1960,Koncernkonto moderföretag,asset,SEK,0
1970,Särskilda bankkonton,asset,SEK,0
1972,Upphovsmannakonto,asset,SEK,0
1973,Skogskonto,asset,SEK,0
